"country","year","status","life_expectancy","adult_mortality","alcohol","percentage_expenditure","bmi","total_expenditure","gdp","population","income_composition_of_resources","schooling","code","meningitis","alzheimer_s_disease_and_other_dementias","parkinson_s_disease","nutritional_deficiencies","malaria","drowning","interpersonal_violence","maternal_disorders","hiv_aids","drug_use_disorders","tuberculosis","cardiovascular_diseases","lower_respiratory_infections","neonatal_disorders","alcohol_use_disorders","self_harm","exposure_to_forces_of_nature","diarrheal_diseases","environmental_heat_and_cold_exposure","neoplasms","conflict_and_terrorism","diabetes_mellitus","chronic_kidney_disease","poisonings","protein_energy_malnutrition","road_injuries","chronic_respiratory_diseases","cirrhosis_and_other_chronic_liver_diseases","digestive_diseases","fire_heat_and_hot_substances","acute_hepatitis","measles_abs","infant_deaths_abs","under_five_deaths_abs","hepatitis_b_abs","polio_abs","diphtheria_abs","thinness_1_19_abs","thinness_5_9_abs"
"afghanistan",2000,"Developing",54.8,321,0.01,10.42496,12.2,8.2,114.56,293756,0.338,5.5,"AFG",3105,1291,416,3060,263,2048,2871,4271,97,186,5864,53919,32395,22920,99,1137,0,11323,52,13977,5429,2515,4182,499,3013,6581,7471,3249,6206,465,4334,1918814.192,25850.528,35838.232,182128.72,70501.44,70501.44,6756.388,7343.9
"afghanistan",2001,"Developing",55.3,316,0.01,10.5747282,12.6,7.8,117.49698,2966463,0.34,5.9,"AFG",3063,1300,424,2973,211,2044,2971,4385,104,197,5900,54642,31594,23276,101,1183,4,11446,380,14312,5689,2657,4251,502,2924,6720,7565,3267,6277,467,4363,25992148.806,261048.744,361908.486,1868871.69,1038262.05,978932.79,62295.723,71195.112
"afghanistan",2002,"Developing",56.2,3,0.01,16.88735091,13,7.76,187.84595,21979923,0.341,6.2,"AFG",2990,1311,429,2795,2883,1980,3277,4498,111,202,5660,54213,30346,23976,101,1190,1286,11393,53,14437,977,2745,4239,490,2746,6696,7455,3238,6246,455,4251,54642088.578,1934233.224,2681550.606,14067150.72,7912772.28,7912772.28,4374004.677,483558.306
"afghanistan",2003,"Developing",56.7,295,0.01,11.08905273,13.4,8.82,198.7285436,2364851,0.373,6.5,"AFG",3300,1326,434,3039,2188,2282,3458,4702,118,216,5676,54274,32361,24628,104,1235,137,12348,55,14951,864,2865,4336,531,2984,7243,7471,3342,6443,499,4373,1887151.098,205742.037,288511.822,1537153.15,969588.91,969588.91,465875.647,470605.349
"afghanistan",2004,"Developing",57,293,0.02,15.29606643,13.8,8.79,219.1413528,24118979,0.381,6.8,"AFG",3350,1344,439,3033,773,2386,3479,4799,125,229,5607,54438,32222,24780,107,1283,18,12258,57,15360,1049,2986,4413,547,2978,7522,7477,3394,6541,516,4345,11239444.214,2098351.173,2894277.48,16159715.93,1205948.95,1205948.95,4703200.905,4751438.863
"afghanistan",2005,"Developing",57.3,291,0.02,1.388647732,14.2,8.7,25.2941299,257798,0.396,7.9,"AFG",3238,1362,442,2879,545,2315,3506,4936,132,239,5403,54196,30898,24725,109,1300,561,11532,78,15556,2114,3070,4431,540,2824,7577,7391,3388,6528,507,4194,334106.208,21912.83,30420.164,170146.68,149522.84,149522.84,49755.014,50270.61
"afghanistan",2006,"Developing",57.3,295,0.03,17.17151751,14.7,7.43,272.56377,2589345,0.405,8.1,"AFG",3098,1381,446,2727,414,2235,3609,4884,140,245,5203,54080,29406,24229,110,1303,382,10356,57,15724,5677,3130,4461,527,2675,7484,7310,3366,6494,496,3870,5152796.55,217504.98,300364.02,1657180.8,1501820.1,1501820.1,497154.24,499743.585
"afghanistan",2007,"Developing",57.5,295,0.02,10.91015598,15.2,6.73,369.835796,26616792,0.415,8.4,"AFG",2933,1402,450,2488,393,2127,3657,4990,148,252,4995,53962,27672,23890,111,1310,296,9320,57,15925,8220,3189,4490,512,2439,7425,7222,3346,6458,481,3437,30369759.672,2182576.944,3007697.496,16768578.96,16768578.96,16768578.96,5057190.48,5083807.272
"afghanistan",2008,"Developing",58.1,287,0.03,25.87392536,15.7,8.33,373.3611163,2729431,0.433,8.7,"AFG",2731,1424,455,2277,255,1973,3785,5020,157,261,4790,54051,25800,23792,114,1330,1317,8275,57,16148,6895,3261,4534,495,2231,7355,7143,3316,6408,462,3005,4364360.169,218354.48,300237.41,1746835.84,1746835.84,1746835.84,513133.028,515862.459
"afghanistan",2009,"Developing",58.6,281,0.01,56.76221682,16.2,9.42,445.8932979,284331,0.434,8.9,"AFG",2460,1449,460,2040,239,1852,3874,5013,167,270,4579,53964,24340,23672,115,1342,101,7359,57,16383,7617,3336,4597,483,1998,7290,7045,3291,6358,448,2663,813470.991,21893.487,30139.086,179128.53,179128.53,179128.53,52885.566,53169.897
