"country","year","status","life_expectancy","adult_mortality","percentage_expenditure","hepatitis_b","polio","measles","infant_deaths","under_five_deaths","hiv_aids_life_exp","schooling","population","alcohol","gdp","cardiovascular_diseases","neonatal_disorders","hiv_aids_cause_deaths","malaria","tuberculosis","diarrheal_diseases","lower_respiratory_infections","healthcare_per_capita","total_deaths","cardio_death_prop","neonatal_death_prop","hiv_death_prop","malaria_death_prop","tb_death_prop"
"Afghanistan",2015,"Developing",65,263,71.27962362,65,6,1154,62,83,0.1,10.1,33736494,0.01,584.25921,56875,23953,230,284,3893,5509,21016,1.09660959415385,85235,0.667272833929724,0.281023053909779,0.00269842200973778,0.00333196456854579,0.0456737255822139
"Afghanistan",2014,"Developing",59.9,271,73.52358168,62,58,492,64,86,0.1,10,327582,0.01,612.696514,55932,24163,213,228,3970,5751,21750,1.22743875926544,84506,0.661870163065345,0.285932359832438,0.00252053108655007,0.00269803327574373,0.0469789127399238
"Afghanistan",2013,"Developing",59.9,268,73.21924272,64,62,430,66,89,0.1,9.9,31731688,0.01,631.744976,55274,24234,200,143,4047,5986,22260,1.22235797529215,83898,0.658823809864359,0.288850747336051,0.00238384705237312,0.00170445064244678,0.0482371451047701
"Afghanistan",2012,"Developing",59.5,272,78.1842153,67,67,2787,69,93,0.1,9.8,3696958,0.01,669.959,54868,24057,191,94,4122,6008,22162,1.31402042521008,83332,0.658426534824557,0.288688619017904,0.00229203667258676,0.00112801804828877,0.049464791436663
"Afghanistan",2011,"Developing",59.2,275,7.097108703,68,68,3013,71,97,0.1,9.5,2978599,0.01,63.537231,54347,23951,184,390,4259,6412,22883,0.119883592956081,83131,0.653751308176252,0.28811153480651,0.00221337407224742,0.00469139069661137,0.0512323922483791
"Afghanistan",2010,"Developing",58.8,279,79.67936736,66,66,1989,74,102,0.1,9.2,2883167,0.01,553.32894,53934,23821,176,377,4416,6889,23701,1.35509128163265,82724,0.651975242976645,0.287957545573231,0.00212755669455055,0.00455732314684977,0.053382331608723
"Afghanistan",2009,"Developing",58.6,281,56.76221682,63,63,2861,77,106,0.1,8.9,284331,0.01,445.8932979,53964,23672,167,239,4579,7359,24340,0.968638512286689,82621,0.653151135909757,0.286513114099321,0.00202127788334685,0.00289272703065806,0.0554217450769175
"Afghanistan",2008,"Developing",58.1,287,25.87392536,64,64,1599,80,110,0.1,8.7,2729431,0.03,373.3611163,54051,23792,157,255,4790,8275,25800,0.445334343545611,83045,0.650863989403336,0.286495273646818,0.0018905412728039,0.00307062436028659,0.057679571316756
"Afghanistan",2007,"Developing",57.5,295,10.91015598,63,63,1141,82,113,0.1,8.4,26616792,0.02,369.835796,53962,23890,148,393,4995,9320,27672,0.189741843130435,83388,0.647119489614813,0.286492061207848,0.0017748357077757,0.00471290833213412,0.0599007051374298
"Afghanistan",2006,"Developing",57.3,295,17.17151751,64,58,1990,84,116,0.1,8.1,2589345,0.03,272.56377,54080,24229,140,414,5203,10356,29406,0.299677443455497,84066,0.643304070611186,0.2882140223158,0.00166535817096091,0.00492470201984155,0.0618918468822116
"Afghanistan",2005,"Developing",57.3,291,1.388647732,66,58,1296,85,118,0.1,7.9,257798,0.02,25.2941299,54196,24725,132,545,5403,11532,30898,0.02423468991274,85001,0.637592498911777,0.290878930836108,0.00155292290678933,0.00641168927424383,0.0635639580710815
"Afghanistan",2004,"Developing",57,293,15.29606643,67,5,466,87,120,0.1,6.8,24118979,0.02,219.1413528,54438,24780,125,773,5607,12258,32222,0.268352042631579,85723,0.635045437047233,0.289070611154533,0.00145818508451641,0.00901741656264946,0.065408350151068
"Afghanistan",2003,"Developing",56.7,295,11.08905273,65,41,798,87,122,0.1,6.5,2364851,0.01,198.7285436,54274,24628,118,2188,5676,12348,32361,0.195574122222222,86884,0.624671976428341,0.283458404309194,0.00135813268265734,0.0251830026241886,0.065328483955619
"Afghanistan",2002,"Developing",56.2,3,16.88735091,64,36,2486,88,122,0.1,6.2,21979923,0.01,187.84595,54213,23976,111,2883,5660,11393,30346,0.300486670996441,86843,0.624264477275083,0.276084428221043,0.00127816864917149,0.0331978397798326,0.0651750860748707
"Afghanistan",2001,"Developing",55.3,316,10.5747282,63,35,8762,88,122,0.1,5.9,2966463,0.01,117.49698,54642,23276,104,211,5900,11446,31594,0.191224741410488,84133,0.649471669856061,0.276657197532478,0.00123613801956426,0.00250793386661595,0.0701270607252802
"Afghanistan",2000,"Developing",54.8,321,10.42496,62,24,6532,88,122,0.1,5.5,293756,0.01,114.56,53919,22920,97,263,5864,11323,32395,0.190236496350365,83063,0.649133790014808,0.275935133573312,0.00116778830526227,0.0031662713843709,0.070597016722247
